A,አንድ
Contention,ጠብ 
Contentment,መደሰት
Contest,ተከራከረ (በት) 
Contestant,ተወዳዳሪ
Context,አግባብ
Contiguous,የተጠጋጋ
Continent,አህጉራት
Contingent,ድንገተኛ
Continual,የማያቃርጥ
Continuance,መቀጠል
Continuation,መቀጠል
Continue,ቀተለ 
Continuous,የማያቋርት
Contort,አጨማደደ
Contraband,የኮንትራባንድ እቃ ያልተቆረጠበት እቃ
Contract,አሳጠረ 
Contractor,ሥራ ተቌራጭ
Contradict,አፈረሰ 
Contradiction,የሚቃወም  አስተያየት 
Contradictory,የሚፃረር
Contrary,ተቃራኒ 
Contrast,አነፃፀረ
Contribute,አዋጣ 
Contribution,መዋጮ 
Contrite,ጽጽት
Contrive,ፈጠረ
Control,በጅ 
Controller,ተቁጣጣሪ
Controversial,አከራካሪ
Controversy,ሙግት 
Contumacious,የማይታዘዝ
Convalesce,አገገመ
Convalescent,ገመምተኛ
Convene,ሰበሰበ
Convenience,ምቾት
Convenient,ምቹ  ያመቸ
Convent,የሴቶች ገዳም
Convention,ስብሰባ 
Conventional,የተለመደ 
Converge,ተገናኘ 
Conversation,ወሬ ጭውውት
Conversational,ለንግግር የሚረዳ
Converse,ተወያየ ተጨዋወተ
Conversion,መለወጥ 
Convert,መነዘረ 
Convex,እንደ ኳስ አካል ወደ ውጭ ያበጠ
Convey,አጓጓዘ 
Conveyance,ማስተላለፍ 
Convict,ፈረደ((በት) 
Conviction,እምነት የፀና እምነት
Convince,አሳመነ
Convincing,አጥጋቢ
Convivial,የደስ ደስ
Convocation,ስብሰባ
Convoke,ስብሰባ ጠራ
Convoy,የታጀበ  የመርከቦች ጓድ
Convulse,በሣቅ ፈጀ
Cook,አበሰለ
Cookie,ብስኩት
Cooking,ወጥ ቤትነት ምግብ አሠራር
Cool,አቀዘቀዘ 
Coop,ባለሸቦ ቆጥ
Cooperate,ተግባብቶ ሠራ 
Cooperation,እርዳታ 
Cooperative,የህብረት ድርጅት
Coordinate,ኣስተባበር 
Cope,አረካ 
Copious,በረከት ያለ
Copper,መዳብ
Copy,ገለበጠ 
Coral,የተከማቸ  ዛጎል
Cord,ሲባጎ 
Cordial,ልባዊ
Cordon,ጓድ
Core,ውስጥ 
Cork,ወተፈ 
Corkscrew,የጠርሙስ መክፈቻ
Corn,በቆሎ 
Corner,ጥ ሥርቻ 
Cornerstone,የመሰረት ድንጋይ 
Corollary,ውጤት
Coronation,የዘውድ በዓል 
Corporal,የአስር አለቃ
Corporation,ማኅበር
Corps,ጓድ
Corpse,ሬሳ 
Corpulent,ወፍራም
Corral,በረት
Correct,አረመ 
Correction,እርማት
Correlate,አዛመደ
Correlation,ግንኙነት
Correspond,ተመሳሰለ 
Correspondence,ተመሳሳይነት 
Correspondent,ዜና አጠናቃሪ
Corridor,መተላለፊያ
Corroborate,አረጋገጠ
Corrode,ተበላ ዛገ
Corrosive,የመብላት
Corrugate,ወጣ ገባ አድርጎ ኣጎባበጠ
Corrupt,አበላሸ 
Corruption,ብልሽት 
Cosmetic,መኳኳያ
Cost,አስወጣ 
Costly,ውድ
Costume,ልብስ
Cottage,ጎጆ
Cotton,ጥጥ
Couch,ገለፃ
Cough,ሳለ
Council,ኮሚቴ  ምክር ቤት
Counsel,ምክር 
Counselor,ጠበቃ 
Count,ቆጠረ 
Countenance,ፊት
Counter,ተቋቋመ
Counteract,ተከላከለ
Counterbalance,መቋቋሚያ
Counterfeit,አስመስሎ የውሽት ብር ሠራ
Counterpart,ተነፃፃሪ 
Countless,ቁጥር የለለው
Country,አገር 
Countryman,ባላገር 
Countryside,ባላገር  ገጠር
Coup,አድማ 
Couple,ባልና ሚስት 
Couplet,ሁለት ቤት
Coupon,ቲኬት
Courage,ጀግንነት ጉብዝና
Courageous,ጀግና
Courier,መልእክተኛ
Course,አቅጣጫ 
Court,አሽኮረመመ 
Courteous,የትሕትና  ተግባር
Courtesy,ይሉኝታ 
Courtier,የክብር ተከታይ
Courtroom,ፍርድ ቤት
Courtyard,አጥር ግቢ
Cousin,ያክስት ሊጅ
Cove,ከባሃር ሰላጤ መለስ ያለ ውሃ
Covenant,ቃል ኪዳን
Cover,ከደነ 
Coverage,ጥንቅር
Covering,ልባስ
Covert,ስርቅ አድርጎ ተመለከየ
Covet,ተመኘ
Cow,ላም
Coward,ፈሪ ቡከን
Cowardice,ፈሪነት
Cowardly,ፈሪ 
Cower,ተወሸቀ
Cowherd,እረኛ
Coy,ዓይን አፋር
Cozy,የሞቀ 
Crab,ሽርጣን
Crack,የሕፃን አልጋ 
Craft,ሙያ 
Craftsman,ባለ እጅ
Crafty,ተንኮለኛ
Cram,አጨቀ
Cramp,አሸመቀቀ
Crank,በማኑሼላ ተጠቀመ
Cranky,ነጭናጫ
Crash,ጥሶ ገባ
Crass,ፍፁም 
Crate,ሣጥን
Crater,የእሳት ገሞራ አናት
Crave,ወደደ 
Craving,ከፍ ያለ ጉጉት
Crawl,ዳሃ
Crayon,ከለር
Craze,ፈሊጥ
Crazy,እብድ 
Creak,ሲጢጥ አለ 
Cream,ከፍተኛ ቅባትነት ያለው የወተት እናት 
Crease,አጨማደደ
Create,ፈጠረ 
Creation,ፍጥረት 
Creative,ተፈጠራ ችሎታ ያለው
Creator,ፈጣሪ
Creature,ፍጥረት 
Credential,የሹመት ደብዳቤ 
Credible,የሚታመን ሊታመን የሚቺል
Credit,አመነ 
Creditor,ባለ እዳ  አበደሪ 
Credulous,ተታላይ
Creed,እመነት
Creek,ጅረት
Creep,ድሃ 
Cremate,ሬሳ አቃጠለ
Crescent,ግማሽ
Crest,ጉትዮ
Crestfallen,ኩምሽሽ አለ
Crevasse,ጉድባ
Crevice,ስንጥቅ
Crew,ሠራተኞች 
Crib,የሕፃን ኣልጋ 
Cricket,ፌንጣ
Crime,ወንጀል 
Criminal,ወንጀለኛ
Cringe,ተሸማቀቀ
Crinkle,አጨማደደ
Cripple,አካለ ጎደሎ አደረገ 
Crisis,አስጊ ሁኔታ 
Crisp,ጉልህ 
Criss-cross,እያኮራረጠ አለፈ
Criterion,መመዘኛ
Critic,ተቺ 
Critical,ጥልቅ 
Criticism,ትችት 
Criticize,ነቀፈ 
Croak,ጮሀ
Crocodile,አዞ
Crook,ቆልማማ ዱላ 
Crooked,ጠማማ 
Croon,እሹሩሩ
Crop,ሰብል 
Cross,ተሻገረ 
Cross-country,የገር አቋራጭ
Cross-cut,አቋራጭ
Cross-examine,መስቀለኛ ጥያቄ
Cross-eyed,ሸውራራ
Crossfire,በተታኩሱት ጊዜ
Crossing,መተላለፊያ 
Crossroad,መስቀለኛ መንገድ የመንገዶች መገናኛ
Crosswalk,ማቋረጫ ስፍራ 
Crosswise,ተመሳቀለ
Crouch,አደፈጠ 
Crow,ጮሀ
Crowbar,የብረት መፈልቀቂያ
Crowd,አጠበበ 
Crown,ዘውድ 
Crucial,ቁርጥ የሚለይበት
Crucible,የብርና የወርቅ ማቅለጫ ጐድጋዳ ሸክላ
Crucifix,ስቅለት የሚያሳይ ቅርጽ
Crucifixion,ስቅለት
Crucify,ሰቀለ 
Crude,ባለጌ 
Cruel,ጨካኝ 
Cruelty,ጭካኔ 
Cruise,የመርከብ ሽርሽር
Crumb,ፍርፍሪ
Crumble,ፈረፈረ
Crumple,ጨባበጠ
Crunch,ቁረጣጠመ
Crusade,ታገለ
Crush,አጨማደደ 
Crust,ቅረፊት
Crutch,ምርኩዝ
Crux,ዋና ነገር ፈሬ ነገር
Cry,አለቀሰ 
Crying,ለቅሶ
Crystal,ከፍተኛ  ጥራት ያለው መሠታወት የሚመስል የሚመስል ድንጋይ
Crystallize, አጠናቀቀ
Cube,ስድስት ጎን ያለው ቅርፅ 
Cubic,ኩብ
Cubicle,ትንሽ ክፍል
Cubit,ክንድ
Cucumber,የፈረንጅ ዱባ
Cud,ምንዛጊ
Cuddle,አንከባክቦ አቀፈ 
Cudgel,ቆመጥ
Cue,ምልክት
Cuff,አጮለ
Cull,መርጦ አወጣ
Culminate,ተደመደመ
Culprit,ወንጀለኛ
Cultivate,አለማ 
Cultivator,አራሽ
Cultural,የባህል
Culture,ባህል 
Cultured,ጭዋ
Cumin,ከሙን
Cumulative,በየግዜው የተጠራቀመ
Cunning,ብልጥ
Cup,አገመ 
Cupboard,ቁም ሣጥን
Cupidity,ሥሥት
Cupola,ቁብታ
Curable,ማዳን ተቻለ
Curator,ኅላፊ
Curb,ገታ
Curd,እርጎ 
Curdle,ረጋ
Cure,አዳነ 
Curfew,የሳዓት እላፊ
Curiosity,ጉጉት 
Curious,ጉጉት 
Curl,ጠቀለለ
Curly,ከርዳዳ
Currency,ገንዘብ
Current,ፈረሰኛ ወኅ ፧ ገስጋሽ ውኅ 
Currently,ባሁኑ ጊዜ 
Curriculum,ሥርዓተ ትምህርት
Curse,ረገመ 
Cursive,የተቀጣጠለ
Cursory,ብችኮላ
Curt,ድርቅ ያለ 
Curtail,ቆረጠ(በት) 
Curtain,ጋረደ
Curtsy,እጅ ነሣ
Curve,ታጠፊ
Cushion,ትራስ
Custodian,ጠባቂ
Custody,የማሳደግ ኅላፊነት
Custom,ልማድ
Customer,ደንበኛ
Cut,ቆረጠ 
Cute,የደስ ደስ ያለው
Cutlery,የእቃ መቁራረጫ መሥሪያ 
Cutlet,ኮተለት
Cutting,የሚነካ
Cycle,ኡደት
Cynical,ተጠራጣሪ
Cypress,ጥድ የሚመስል ዛፍ
Dab,ቀባባ
Dabble,አልፎ አልፎ 
Daddy,ኣባባ
Dagger,ጩቤ
Daily,በየቀኑ የሚታተም ጋዜጣ
Dainty,ለስላሳ 
Dairy,የከብት ርቢ ጣብያ 
Dais,የዙፋን መቀመጫ ስፍራ
Dally,አባከነ
Dam,ገደበ
Damage,አበላሸ
Damn,ኰነነ 
Damnation,እንዲኮንን
Damned,የተኮነነ
Damp,እርጥበት
Dampen,ውኅ አረከፈከፈ 
Dance,ደነሰ 
Dancer,ደናሽ
Dandle,ሽቅብ ሽቅብ አደረገ
Dandy,ስለ አለባበሱ ስለ መልኩ በጣም የሚጠነቀቀ ስው
Danger,አደጋ 
Dangerous,አደገኛ 
Dangle,አወዛወዘ
Dank,ለዛዛ
Dapple,ዥንጉርጉር 
Dare,ደፈረ 
Dark,ጨለማ 
Darken,አጨለመ 
Darling,ብርቅ
Darn,ጠቀመ
Dash,አላጋ 
Dashing,ያሸበረቀ
Date,ቀን 
Daub,ቀባ
Daughter,ሴት ልጅ
Daunt,ተስፋ አስቆረጠ
Dawn,ነጋ 
Day,ቀን 
Daybreak,ማለዳ 
Daylight,የቀን ብርሃን
Daze,አፈዘዘ 
Dazzle,አጭበረበረ 
Deacon,ዲያቆን
Dead,የሞተ 
Deaden,ደነዘዘ 
Deadline,የመጨረሻ ቀን
Deadlock,አልበገር ባይ
Deadly,የሚገድል 
Deaf,ደንቆሮ
Deafen,አደንቆረ
Deal,ተገናኘ 
Dealer,ነጋዴ
Dealings,ይዞታ 
Dear,ተወዳጅ 
Dearth,እጥረት
Death,ሞት 
Deathbed,ዜና እረፍት 
Debark,ከመርከብ ወረደ
Debase,አረከሰ
Debatable,የሚያከራክር
Debate,ተከራከረ (በ) 
Debauch,አበላሸ
Debilitate,አደከመ
Debit,መጨመር
Debris,ፍርስራሽ
Debt,እዳ 
Debtor,ባለ እዳ 
Decade,አሥር ኣመታት
Decadence,ውድቀት
Decant,ኣጠለለ
Decapitate,ቀላ
Decay,አበሰበሰ 
Decease,መሞት
Deceased,ሟች
Deceit,ማታለል
Deceitful,አታላይ
Deceive,አታለለ
Decelerate,ፍጥነቱን ቀነሰ
Decency,መልካም ምግባር
Decent,ደኅና 
Deception,ማጭበርበር 
Deceptive,አሳሳች
Decide,ቆረጠ 
Decided,የማያጠራጥር 
Decidedly,መቶ በመቶ
Decimal,የሥራት አቆጣጠር
Decimate,አብዛኛውን ክፍል አጠፋ 
Decipher,አነበበ 
Decision,ውሳኔ
Decisive,ማብቅያ 
Deck,የመርከብ መድረክ 
Declaim,እየተቀናጣ ተናገረ 
Declaration,አዋጅ መታወጅ 
Declare,ዐወጀ 
Declension,እርባታ
Decline,አልተቀበለም 
Declivity,ቀጥ ማለት
Decode,መፍታት
Decompose,ለያየ
Decorate,አስጌጠ 
Decoration,ጌጥ 
Decorative,ጌጥ
Decorator,የቤት እቃ የሚያደራጅ
Decorous,የጨዋ
Decoy,ሰው ሰራሽ ወፍ 
Decrease,ቀነሰ
Decree,ደነገገ
Decrepit,ድቅቅ ያለ
Decry,አቃለለ 
Dedicate,መርቆ ከፈተ 
Deduce,ተረዳ
Deduct,ቀነሰ 
Deduction,ቅናሽ 
Deed,ሥራ 
Deem,አመነ
Deep,ጥልቅ 
Deepen,አርቆ ቆፈረ
Deer,አጋዘን
Deface,አበላሸ
Defame,ስም አጠፋ
Default,ሳያከብር ቀረ
Defeat,ድል አደረገ 
Defecate,ቀዘነ 
Defect,ከድቶ ገባ
Defection,መኮብለል
Defective,የተበላሸ
Defend,ተከላከለ 
Defendant,ተከሳሽ
Defense,ተከላካይ ምሽግ 
Defensible,ሊከላከል የሚችልበት
Defensive,መከላከል
Defer,አስተላለፈ 
Deference,አክብሮት
Defiance,አለመበገር 
Defiant,እሚቢተኛ
Deficiency,እጥረት 
Deficient,በቂ ያልሆነ
Deficit,እጥረት 
Defile,አረከሰ 
Define,ወሰነ 
Definite,ቁርጠኛ  
Definitely,በእርግጥ
Definition,ፍች
Definitive,በግልጽ 
Deflate,አስተነፈሰ 
Deflect,በሌላ አቅጣጫ አስኬደ
Deform,አበላሸ 
Deformity,አካለ ጐደሎነት
Defraud,አጭበረበረ
Defray,ቻለ
Deft,ቀልጣፋ
Defy,ጣሰ 
Degenerate,ተበላሸ
Degrade,ዝቅ አደረገ 
Degree,ደረጃ 
Deify,አመለከ
Deign,መምሰል
Deity,አምላክ 
Deject,ተስፋ አስቆረጠ
Delay,አስተላለፈ 
Delegate,ወከለ 
Delegation,መልእክተኞች 
Delete,ሰረዘ
Deleterious,ጎዳ
Deliberate,ተመካከረ 
Deliberation,ውይይት 
Delicacy,ኰሳሳነት 
Delicate,ስልከክ ያለ 
Delicious,ጣፋጭ
Delight, ኣስደሰተ
Delightful,አስደሳች
Delimit,ወሰነ
Delineate,ከለለ 
Delinquency,ወንጀል 
Delinquent,ዱርዬ
Delirious,አቃዘው 
Deliver,አደረሰ 
Delivery,አቀራረብ 
Delta,ወንዝ ከውቅያኖስ ጋር በሚገናኝበት በደለል መከማቸት ምክንያት የሚፈጠር መሬት
Delude,ማሞኘት
Deluge,ጐርፍ 
Delusion,ከንቱ ስሜት
Delve,አጥብቆ ፈለገ 
Demand,ጠተቀ 
Demean,አቃለለ
Demented,እብድ
Demilitarize,ከወታደር ነጻ አደረገ
Demise,መጥፋት 
Demobilize,በተነ
Democracy,ዲሞክራሲ
Demolish,አወደመ 
Demon,መንፈስ 
Demonstrate,አስረዳ 
Demonstration,መግለጫ 
Demonstrative,በጋለ ስሜቱ ያቀረበው 
Demonstrator,ሰለማዊ ሰልፈኛ 
Demoralize,አበላሸ 
Demote,ዝቅ አደረገ 
Demur,አቅማማ 
Demure,ትሑት 
Den,ትንሽና ምቹ የሆነች ለማንበብያና ለመስርያ  የምታገለግል ክፍል 
Denial,ማስተባነያ 
Denigrate,አጠፋ
Denomination,የሃይማኖት ወገን 
Denote,አመለከተ 
Denounce,አወገዘ 
Dense,ጥቅጥቅ ያለ 
Density,ጥቅጥቅ ማለት
Dent,ጠረመሰ
Dental,የጥርስ
Dentist,የጥርስ ሓኪም
Denude,ባዶውን አስቀረው
Denunciation,ማሳጣት
Deny,ካደ 
Depart,ሄደ 
Departed,ሟች
Department,ክፍል
Departure,መሄድ 
Depend,ተማመነ 
Dependable,ታማኝ
Dependency,ጥገኛ
Dependent,ጥገኛ
Depict,ገለጻ 
Deplete,ጨረሰ
Deplorable,አሳዛኝ 
Deplore,አዘነ 
Deploy,በየወገኑ አሰማራ
Depopulate,ማብዛት
Deport,ካገር አስወጣ
Depose,የምስክርነት ቃሉን ሰጠ  
Deposit,መያዝ 
Deposition,በጽሑፍ ያቀረበ የምስክርነት ቃል
Depository,ማስቀመጫ
Depot,ግምጃ ቤት
Deprave,አበላሸ
Deprecate,አንኳሰሰ
Depreciate,ዝቅ አደረገ
Depress,ቅር አሰኘ 
Depression,ጒድጓድ 
Deprive,ከለከለ 
Depth,ጥልቀት
Deputation,እንደራሴ
Deputy,ምክትል
Derail,የሓዲዱን አቅጣጫ ለወጠ
Derange,አናወጠ
Derelict,ቸልተኛ 
Deride,አፌዘ
Derision,ፌዝ
Derivation,ሥርወ  ቃላት
Derive,አገኘ
Derogatory,የሚነካ
Descend,ወረደ 
Descendant,ተወላጅ
Descent,ቁልቁለት 
Describe, 
Description,መግለጫ 
Desecrate,አረከሰ 
Desert,ለቀቀ 
Deserve,ይገባዋል
Design,ነደፈ  
Designate,ሠየመ 
Designer,ሞዴል አውጪ
Designing,ሞዴል
Desirable,ተፈላጊ 
Desire,ፍላጎት 
Desist,ተወ
Desk,ዴስክ
Desolate,በዳ
Despair,ተስፋ ቆረጠ
Desperate,ተስፋ የሚያስቆርጥ 
Despicable,የሚናቅ
Despise,ናቀ
Despite,ምንም እንካን
Despoil,በዘበዘ
Despot,ማን አለብኝ ባይ
Dessert,ማጣጣሚያ 
Destination,ያሰበበት ቦታ 
Destine,ተመረጠ 
Destiny,እጣ 
Destitute,ምስኪን
Destroy,አጠፋ 
Destroyer,ደምላሽ
Destruction,ጥፋት
Destructive,ጥፋት የሚያደርስ
Desuetude,ከጥቅም ውጭ ሆነ
Desultory,ያለ ዓላማ
Detach,በጠሰ 
Detachment,ክፍል 
Detail,ዘረዘረ 
Detain,አቆየ 
Detect,አገኘ
Detective,ወንጀል መርማሪ
Deteriorate,ተበላሸ
Determinant,ዋና ነገር
Determination,ቆራጥነት 
Determine,ወሰነ 
Determined,ሓሳበ ቁራጥ
Deterrent,አራቀ
Detest,ጠላ
Detestable,አስከፊ
Dethrone,ከዝፋን አወረደ
Detonation,የፈንጅ ድምጽ
Detour,ዙሮ መሄድ
Detract,ቀነሰ(በት)
Detriment,ጐጂ
Devalue,ዝቅ አደረገ 
Devastate,አወደመ 
Develop,
Development,አስፍፋ 
Deviate,ራቀ
Device,ዘዴ 
Devil,ሰይጣን
Devious,ቅን ያልሆነ
Devise,ፈጠረ
Devoid,ቢስ
Devolve,በሱ ላይ ተጣለ
Devote,አዋለ
Devoted,ታማኝ
Devotion,ፍቅር 
Devour,በላ 
Devout,ለእግዛቢሄር ያደረ 
Dew,ጤዛ
Dexterity,ቅልጥፍና 
Dexterous,ጥበበኛ
Diabolic,የሰይጣን
Diadem,የራስ ወርቅ
Diagnose,ለይቶ አወቅ
Diagnosis,የምርመራ ውጤት 
Diagonal,ሰያፍ
Diagram,ሥዐላዊ መግለጫ
Dial,ደወለ
Dialect,ያነጋገር ዘዴ
Dialogue,ውይይት 
Diameter,የክበብ አጋማሽ መሥመር
Diamond,አልማዝ
Diary,ዕለታዊ ማስታወሻ
Dicker,ተከራከረ
Dictate,በቃል አጻፈ አጻፈ 
Dictation,የቃል ጽሕፈት
Dictator,አምባገነን
Diction,አነጋገር
Dictionary,መዝገበ ቃላት
Didactic,ትምህርት አዘል
Die,ሞተ 
Diet,ምግብ
Differ,ተለያየ 
Difference,ልዩነት 
Different,ሌላ 
Differentiate, ለየ
Difficult,ከባድ 
Difficulty,ችግር 
Diffuse,አስፋፋ
Dig,ቆፈረ
Digest,አዋሀደ 
Digestion,የምግብ መንሸራሸር
Digit,ከዜሮ እስከ ዘጠኝ ያለው ማንኛውም ቁጥር
Dignified,ግርማ ሞገስ ያለው
Dignify,አስከበረ
Dignitary,ባለ ሥልጣን 
Dignity,ክብር 
Digress,ወጣ
Dike,ግድብ
Dilapidated,የወደቀ
Dilate,ሰፋ
Dilemma,የሁለት ክፉ ምርጫ
Diligence,ትጋት
Diligent,ትጉህ 
Dilute,አቀጠነ
Dim,ቀነሰ
Dimension,ወርድና ስፋት
Diminish,ቀነሰ
Diminutive,አነስተኛ የሆነ ነገር
Dimple,ጐድጐድ ያለ ምልክት
Din,አስተጋባ
Dine,እራት በላ
Dingy,ቆሸሽ ያለ
Dinner,እራት 
Dip,አቀለጠ 
Diphtheria,ተላላፊ የጉሮሮ በሽታ
Diploma,የምስክር ወረቀት
Diplomacy,ዲፕሎማሲ
Diplomat,ዲፕሎማት
Diplomatic,ዘዴኛ
Dire,አደገኛ
Direct,አሳየ 
Direction,አቅጣጫ 
Directive,መምሪያ
Directly,በቀጥታ
Director,ዲሬክተር
Directory,የስም ማውጫ
Direful,ሟርተኛ
Dirge,ሙሾ
Dirt,ቆሻሻ 
Dirty,አቆሸሸ
Disability,ጉድለት
Disable,ከሥራ ውጭ አደረገ
Disabuse,አስተወ
Disadvantage,ጉዳት
Disaffected,ቅሬታ የገባው
Disagree,አልተስማማም
Disagreeable,ደስ የማይል
Disallow,ዋጋ አልሰጠም
Disappear,ጠፋ
Disappoint,ቅር አሰኘ
Disappointment,ቅሬታ 
Disapprove,ተቃወመ 
Disarm,የጦር መሣሪያ ቀነሰ 
Disarmament,የጦር መሣሪያ ቅነሳ
Disarray,ትርምስ
Disaster,መቅሰፍት 
Disavow,አስተባበለ
Disband,አፈረሰ
Disbelieve,አላመነም
Disburse,ከፈለ
Discard,ጣለ
Discern,ለየ 
Discharge,አራገፈ 
Disciple,ደቀ መዝሙር
Disciplinary,የቅጣት
Discipline,ቀጣ
Disclose,አወጣበት 
Disclosure,መገለጽ
Discolour,ቀለም አበላሸ 
Discomfit,በጣም አበሳጨ
Discomfort,መጐሳቆል 
Disconcert,አደናገረ
Disconnect,ነቀለ 
Disconnected,ያልተያያዘ
Discontent,ቅሬታ 
Discontinue,አቋረጠ
Discord,ብጥብጥ 
Discordant,የሚጋጩ
Discount,በሙሉ አምኖ አልተቀበለም 
Discourage,መፈለጉን እንዲተው አደረገ 
Discourse,ሰፊ ንግግር አደረገ
Discourteous,ባለጌ
Discover,ፈጠረ 
Discovery,መገኘት 
Discredit,ዝቅ አድርጎ አስገመተ 
Discreet,ጥንቁቅ
Discrepancy,ልዩነት
Discriminate,ለየ 
Discuss,ተነጋገረ 
Discussion,ውይይት 
Disdain,ናቀ 
Disdainful,ሰውን የመናቅ ጠባይ
Disease,በሽታ
Diseased,በሽተኛ
Disembody,ከሥጋ ለየ
Disenchant,ቅር ተሰኘ
Disengage,አላቀቀ
Disentangle,ፈታ 
Disfigure,አጠፋ
Disgorge,ተፋ
Disgrace,አሳፈረ
Disgraceful,የሚያሳፍር
Disguise,ደበቀ
Disgust,አስጠላ
Disgusting,ጸያፍ
Dish,ሳሕን 
Dishearten,ተስፋ አስቆረጠ
Dishevelled,ተመሰቃቀለ
Dishonest,ሸፋጭ 
Dishonesty,ታማኝ ያለመሆን
Dishonour,አዋረደ
Dishonourable,አሳፋሪ
Disinfect,መድኃኒት ረጨ
Disinherit,ምንም አላወረሰ
Disintegrate,ገነጣጠለ
Disjoin,ለየ ብቻ 
Disjoint,ገነጣጠለ
Disk,ጠፍጣፋ ቀጭን እንደ ሳንቲም ቅርጽ 
			 ያለው ክብ ነገር 2 ሸክላ,			 ያለው ክብ ነገር 
Dislike,ጠላ 
Dislocate,አናጋ 
Dislodge,ፈነቃቀለ 
Disloyal,ታማኝነት የጐደለው
Dismal,ቀፋፊ 
Dismantle,ለያየ 
Dismay,አስጨነቀ
Dismiss,አሰናበተ 
Dismount,ፈታታ 
Disobedient,እምቢተኛ 
Disobey,አልታዘዝም አለ 
Disoblige,ሊረዳው አልቻለም
Disorder,መዝረክረክ 
Disorderly,ቅጥ ያጣ 
Disorganize,አቃወሰ
Disorient,ግራ አጋባ
Disown,ካደ
Disparage,አንኳሰሰ
Disparity,አለመመጣጠን
Dispatch,በፍጥነት ላከ 
Dispel,በተነ 
Dispensary,የሕክምና ክፍል
Dispense,ዐደለ
Disperse,በታተነ
Displace,ያለቦታው አኖረ 
Display,አሳየ 
Displease,አስከፋ 
Displeasure,አለመደሰት 
Disposal,ማስወገድ 
Dispose,ገፋፋ 
Disposition,ባሕርይ 
Dispossess,አስለቀቀ
Disproportion,አለመመጣጠን
Disprove,ሐሰት መሆኑን አረጋገጠ
Dispute,አልተቀበለም
Disqualify,አስቀረ
Disquiet,ዕረፍት ነሳ
Disregard,ችላ አለ
Disreputable,ተግባረ ልክስክስ የሆነ
Disrespect,አንጓጠጠ
Disrobe,ልብስ አወለቀለት
Disrupt,አፋለሰ 
Dissatisfy,ቅር አሰኘ
Dissect,ሰነጠቀ 
Dissemble,ሸፈነ
Disseminate,አሰራጨ
Dissension,ጠብ
Dissent,ተቃወመ 
Dissertation,ለዶክተርነት ዲግሪ ያዘጋጀ ጽሑፍ
Dissident,ተቃዋሚ
Dissimilar,የተለያየ
Dissimulate,ደበቀ
Dissipate,በታተነ 
Dissolute,የወራዳነት
Dissolve,አሟሟ 
Distaff,ማዳወሪያ
Distance,ርቀት 
Distant,ሩቅ 
Distaste,ጥላቻ
Distend,ወጠረ
Distil,አነጠረ 
Distinct,ጉልህ 
Distinction,ልዩነት 
Distinctive,ልዩ
Distinguish,ለየ
Distinguished,የታወቀ
Distort,አጣመመ 
Distract,ጣመ 
Distraction,ሐሳብ የሚስብ ነገር 
Distress,አስጨነቀ
Distribute,አከፋፈለ 
Distribution,አከፋፈለ 
District,አውራጃ 
Distrust,አለማመን 
Disturb,አወከ 
Disturbance,ሁከት 
Ditch,ቦይ ቈፈረ
Dive,ዘለለ 
Diverge,ተገነጠለ 
Divers,የተለያዩ
Diverse,ብዙ 
Diversify,አለዋወጠ
Diversion,አቅጣጫ መለወጥ 
Diversity,የሐሳብ ልዩነት 
Divert,አዋለ 
Divide,ተካፈለ 
Dividend,የኩባንያ የትርፍ ክፍያ
Divider,መከፋፈያ
Divination,ጥንቆላ
Divine,ተነበየ 
Divinity,መለኮትነት
Divisible,ተካፋይ
Division,ክፍል 
Divorce,ፈታ 
Divulge,አወጣ
Dizzy,ጭው ያለ
Do,ሠራ 
Docile,ታዛዥ
Dock,ከወደብ አሳፈረ 
Doctor,ሃኪም
Doctrine,ሕግ 
Document,በማስረጃ አረጋገጠ
Documentary,የጽሑፍ
Documentation,መረጃዎች
Dodge,አድበሰበሰ
Dog,ውሻ
Dogma,ሕግ
Doing,አድራጎት 
Dole,ዐደለ
Doleful,አሳዛኝ
Doll,አሻንጉሊት
Dollar,ብር
Dolorous,አሳዛኝ
Dolphin,ከዓሣ ነባሪ የተዛመደ አነስ ያለ እንሰሳ
Domain,ርስት 
Dome,ጕልላት
Domestic,የቤት 
Domesticate,አላመደ 
Domicile,መኖሪያ
Dominant,ከሌላው የሚልቅ 
Dominate,ገዛ 
Domination,አገዛዝ
Domineer,ጨቆነ
Dominion,ግዛት 
Don,ለበሰ
Donate,እርዳታ 
Donation,እርዳታ
Done,አለቀ 
Donkey,አህያ
Donor,የለገሰ 
Doodle,ሥዕል ቢጤ ጫጫረ
Doom,ፈረደበት 
Door,መዝጊያ በር
Doorbell,የበር ደወል
Doorman,በረኛ
Doorstep,ደጃፍ
Doorway,ደጃፍ 
Dormant,ተከተተ 
Dormer,በጣሪያ ላይ ወጣ ብሎ የተሰራ መስኮት
Dormitory,መኝታ ቤት
Dorsal,የጀርባ
Dosage,መጠን
Dose,መጠን
Dossier,ፋይል
Dot,ጠቃጠቆ 
Double,ዕጥፍ አደረገ 
Doubt,ተጠራጠረ
Doubtful,አጠራጣሪ
Doubtless,ያለ ጥርጥር
Dough,ሊጥ
Douse,ውኃ ረጨ 
Dove,ርግብ 
Dovetail,ሰምና ወርቅ ሆነ
Down,ጅው አደረገ 
Downcast,አዘነ
Downfall,ውድቀት
